county_name,year,month,birth_count
canadian,85,1,95
canadian,85,2,90
canadian,85,3,108
canadian,85,4,113
canadian,85,5,103
canadian,85,6,103
canadian,85,7,124
canadian,85,8,115
canadian,85,9,116
canadian,85,10,101
canadian,85,11,108
canadian,85,12,118
canadian,86,1,90
canadian,86,2,93
canadian,86,3,90
canadian,86,4,90
canadian,86,5,92
canadian,86,6,81
canadian,86,7,100
canadian,86,8,107
canadian,86,9,103
canadian,86,10,110
canadian,86,11,73
canadian,86,12,90
canadian,87,1,82
canadian,87,2,92
canadian,87,3,94
canadian,87,4,119
canadian,87,5,102
canadian,87,6,79
canadian,87,7,109
canadian,87,8,88
canadian,87,9,97
canadian,87,10,87
canadian,87,11,79
canadian,87,12,95
canadian,88,1,94
canadian,88,2,80
canadian,88,3,83
canadian,88,4,97
canadian,88,5,90
canadian,88,6,95
canadian,88,7,92
canadian,88,8,95
canadian,88,9,94
canadian,88,10,84
canadian,88,11,82
canadian,88,12,91
canadian,89,1,84
canadian,89,2,77
canadian,89,3,103
canadian,89,4,106
canadian,89,5,71
canadian,89,6,84
canadian,89,7,94
canadian,89,8,100
canadian,89,9,103
canadian,89,10,79
canadian,89,11,76
canadian,89,12,95
canadian,90,1,80
canadian,90,2,89
canadian,90,3,89
canadian,90,4,87
canadian,90,5,86
canadian,90,6,95
canadian,90,7,98
canadian,90,8,95
canadian,90,9,88
canadian,90,10,100
canadian,90,11,89
canadian,90,12,87
canadian,91,1,78
canadian,91,2,71
canadian,91,3,85
canadian,91,4,96
canadian,91,5,85
canadian,91,6,84
canadian,91,7,88
canadian,91,8,85
canadian,91,9,88
canadian,91,10,96
canadian,91,11,71
canadian,91,12,93
canadian,92,1,75
canadian,92,2,70
canadian,92,3,77
canadian,92,4,66
canadian,92,5,83
canadian,92,6,77
canadian,92,7,98
canadian,92,8,71
canadian,92,9,93
canadian,92,10,80
canadian,92,11,66
canadian,92,12,86
canadian,93,1,82
canadian,93,2,68
canadian,93,3,79
canadian,93,4,76
canadian,93,5,96
canadian,93,6,96
canadian,93,7,79
canadian,93,8,78
canadian,93,9,91
canadian,93,10,71
canadian,93,11,78
canadian,93,12,88
canadian,94,1,86
canadian,94,2,84
canadian,94,3,84
canadian,94,4,68
canadian,94,5,83
canadian,94,6,102
canadian,94,7,83
canadian,94,8,94
canadian,94,9,103
canadian,94,10,83
canadian,94,11,85
canadian,94,12,93
canadian,95,1,68
canadian,95,2,58
canadian,95,3,78
canadian,95,4,86
canadian,95,5,86
canadian,95,6,81
canadian,95,7,90
canadian,95,8,87
canadian,95,9,96
canadian,95,10,94
canadian,95,11,76
canadian,95,12,91
canadian,96,1,76
canadian,96,2,63
canadian,96,3,83
canadian,96,4,79
canadian,96,5,92
canadian,96,6,81
canadian,96,7,81
canadian,96,8,82
canadian,96,9,76
canadian,96,10,89
canadian,96,11,64
canadian,96,12,86
canadian,97,1,75
canadian,97,2,84
canadian,97,3,86
canadian,97,4,70
canadian,97,5,83
canadian,97,6,92
canadian,97,7,110
canadian,97,8,110
canadian,97,9,101
canadian,97,10,87
canadian,97,11,84
canadian,97,12,86
canadian,98,1,77
canadian,98,2,70
canadian,98,3,92
canadian,98,4,103
canadian,98,5,96
canadian,98,6,88
canadian,98,7,99
canadian,98,8,103
canadian,98,9,97
canadian,98,10,72
canadian,98,11,75
canadian,98,12,87
canadian,99,1,81
canadian,99,2,83
canadian,99,3,80
canadian,99,4,75
canadian,99,5,93
canadian,99,6,80
canadian,99,7,95
canadian,99,8,94
canadian,99,9,94
canadian,99,10,85
canadian,99,11,82
canadian,99,12,104
clevelan,85,1,181
clevelan,85,2,196
clevelan,85,3,201
clevelan,85,4,195
clevelan,85,5,201
clevelan,85,6,158
clevelan,85,7,215
clevelan,85,8,231
clevelan,85,9,215
clevelan,85,10,224
clevelan,85,11,212
clevelan,85,12,203
clevelan,86,1,191
clevelan,86,2,181
clevelan,86,3,215
clevelan,86,4,185
clevelan,86,5,192
clevelan,86,6,210
clevelan,86,7,230
clevelan,86,8,215
clevelan,86,9,220
clevelan,86,10,220
clevelan,86,11,173
clevelan,86,12,194
clevelan,87,1,187
clevelan,87,2,162
clevelan,87,3,193
clevelan,87,4,199
clevelan,87,5,184
clevelan,87,6,201
clevelan,87,7,205
clevelan,87,8,195
clevelan,87,9,198
clevelan,87,10,184
clevelan,87,11,175
clevelan,87,12,180
clevelan,88,1,158
clevelan,88,2,171
clevelan,88,3,218
clevelan,88,4,155
clevelan,88,5,169
clevelan,88,6,199
clevelan,88,7,195
clevelan,88,8,232
clevelan,88,9,206
clevelan,88,10,171
clevelan,88,11,184
clevelan,88,12,158
clevelan,89,1,188
clevelan,89,2,182
clevelan,89,3,210
clevelan,89,4,166
clevelan,89,5,179
clevelan,89,6,201
clevelan,89,7,184
clevelan,89,8,203
clevelan,89,9,213
clevelan,89,10,189
clevelan,89,11,201
clevelan,89,12,184
clevelan,90,1,163
clevelan,90,2,166
clevelan,90,3,196
clevelan,90,4,170
clevelan,90,5,169
clevelan,90,6,173
clevelan,90,7,215
clevelan,90,8,203
clevelan,90,9,170
clevelan,90,10,187
clevelan,90,11,204
clevelan,90,12,163
clevelan,91,1,183
clevelan,91,2,165
clevelan,91,3,174
clevelan,91,4,201
clevelan,91,5,199
clevelan,91,6,184
clevelan,91,7,233
clevelan,91,8,190
clevelan,91,9,230
clevelan,91,10,188
clevelan,91,11,170
clevelan,91,12,217
clevelan,92,1,210
clevelan,92,2,181
clevelan,92,3,177
clevelan,92,4,194
clevelan,92,5,179
clevelan,92,6,202
clevelan,92,7,194
clevelan,92,8,205
clevelan,92,9,195
clevelan,92,10,173
clevelan,92,11,164
clevelan,92,12,182
clevelan,93,1,173
clevelan,93,2,154
clevelan,93,3,201
clevelan,93,4,163
clevelan,93,5,169
clevelan,93,6,189
clevelan,93,7,210
clevelan,93,8,180
clevelan,93,9,169
clevelan,93,10,187
clevelan,93,11,177
clevelan,93,12,179
clevelan,94,1,181
clevelan,94,2,150
clevelan,94,3,165
clevelan,94,4,186
clevelan,94,5,167
clevelan,94,6,198
clevelan,94,7,199
clevelan,94,8,179
clevelan,94,9,174
clevelan,94,10,198
clevelan,94,11,179
clevelan,94,12,197
clevelan,95,1,193
clevelan,95,2,155
clevelan,95,3,175
clevelan,95,4,185
clevelan,95,5,188
clevelan,95,6,217
clevelan,95,7,206
clevelan,95,8,200
clevelan,95,9,188
clevelan,95,10,205
clevelan,95,11,181
clevelan,95,12,159
clevelan,96,1,182
clevelan,96,2,157
clevelan,96,3,185
clevelan,96,4,196
clevelan,96,5,173
clevelan,96,6,190
clevelan,96,7,222
clevelan,96,8,219
clevelan,96,9,185
clevelan,96,10,198
clevelan,96,11,179
clevelan,96,12,188
clevelan,97,1,187
clevelan,97,2,171
clevelan,97,3,175
clevelan,97,4,219
clevelan,97,5,184
clevelan,97,6,218
clevelan,97,7,219
clevelan,97,8,210
clevelan,97,9,199
clevelan,97,10,185
clevelan,97,11,187
clevelan,97,12,214
clevelan,98,1,196
clevelan,98,2,195
clevelan,98,3,198
clevelan,98,4,212
clevelan,98,5,199
clevelan,98,6,188
clevelan,98,7,233
clevelan,98,8,201
clevelan,98,9,237
clevelan,98,10,203
clevelan,98,11,182
clevelan,98,12,209
clevelan,99,1,196
clevelan,99,2,151
clevelan,99,3,211
clevelan,99,4,190
clevelan,99,5,213
clevelan,99,6,190
clevelan,99,7,207
clevelan,99,8,181
clevelan,99,9,216
clevelan,99,10,198
clevelan,99,11,198
clevelan,99,12,193
comanche,85,1,220
comanche,85,2,194
comanche,85,3,189
comanche,85,4,216
comanche,85,5,206
comanche,85,6,212
comanche,85,7,219
comanche,85,8,232
comanche,85,9,242
comanche,85,10,215
comanche,85,11,203
comanche,85,12,216
comanche,86,1,226
comanche,86,2,177
comanche,86,3,198
comanche,86,4,182
comanche,86,5,183
comanche,86,6,216
comanche,86,7,245
comanche,86,8,224
comanche,86,9,236
comanche,86,10,203
comanche,86,11,167
comanche,86,12,218
comanche,87,1,192
comanche,87,2,144
comanche,87,3,181
comanche,87,4,192
comanche,87,5,191
comanche,87,6,226
comanche,87,7,219
comanche,87,8,197
comanche,87,9,219
comanche,87,10,192
comanche,87,11,181
comanche,87,12,198
comanche,88,1,215
comanche,88,2,168
comanche,88,3,210
comanche,88,4,164
comanche,88,5,164
comanche,88,6,173
comanche,88,7,203
comanche,88,8,208
comanche,88,9,223
comanche,88,10,192
comanche,88,11,158
comanche,88,12,183
comanche,89,1,176
comanche,89,2,185
comanche,89,3,163
comanche,89,4,159
comanche,89,5,189
comanche,89,6,211
comanche,89,7,218
comanche,89,8,203
comanche,89,9,189
comanche,89,10,199
comanche,89,11,175
comanche,89,12,180
comanche,90,1,165
comanche,90,2,153
comanche,90,3,198
comanche,90,4,178
comanche,90,5,191
comanche,90,6,184
comanche,90,7,192
comanche,90,8,203
comanche,90,9,182
comanche,90,10,174
comanche,90,11,172
comanche,90,12,142
comanche,91,1,141
comanche,91,2,159
comanche,91,3,164
comanche,91,4,158
comanche,91,5,214
comanche,91,6,162
comanche,91,7,153
comanche,91,8,165
comanche,91,9,164
comanche,91,10,152
comanche,91,11,136
comanche,91,12,167
comanche,92,1,233
comanche,92,2,237
comanche,92,3,190
comanche,92,4,192
comanche,92,5,184
comanche,92,6,193
comanche,92,7,177
comanche,92,8,241
comanche,92,9,221
comanche,92,10,203
comanche,92,11,209
comanche,92,12,199
comanche,93,1,195
comanche,93,2,175
comanche,93,3,197
comanche,93,4,187
comanche,93,5,177
comanche,93,6,176
comanche,93,7,180
comanche,93,8,205
comanche,93,9,199
comanche,93,10,191
comanche,93,11,163
comanche,93,12,163
comanche,94,1,192
comanche,94,2,166
comanche,94,3,180
comanche,94,4,155
comanche,94,5,154
comanche,94,6,186
comanche,94,7,164
comanche,94,8,214
comanche,94,9,186
comanche,94,10,173
comanche,94,11,169
comanche,94,12,164
comanche,95,1,160
comanche,95,2,156
comanche,95,3,172
comanche,95,4,172
comanche,95,5,140
comanche,95,6,177
comanche,95,7,205
comanche,95,8,171
comanche,95,9,159
comanche,95,10,181
comanche,95,11,163
comanche,95,12,168
comanche,96,1,171
comanche,96,2,164
comanche,96,3,166
comanche,96,4,157
comanche,96,5,164
comanche,96,6,145
comanche,96,7,176
comanche,96,8,184
comanche,96,9,175
comanche,96,10,177
comanche,96,11,138
comanche,96,12,178
comanche,97,1,176
comanche,97,2,168
comanche,97,3,187
comanche,97,4,185
comanche,97,5,188
comanche,97,6,165
comanche,97,7,173
comanche,97,8,185
comanche,97,9,184
comanche,97,10,180
comanche,97,11,169
comanche,97,12,203
comanche,98,1,184
comanche,98,2,160
comanche,98,3,168
comanche,98,4,164
comanche,98,5,166
comanche,98,6,160
comanche,98,7,158
comanche,98,8,196
comanche,98,9,207
comanche,98,10,158
comanche,98,11,151
comanche,98,12,193
comanche,99,1,153
comanche,99,2,160
comanche,99,3,184
comanche,99,4,139
comanche,99,5,151
comanche,99,6,169
comanche,99,7,143
comanche,99,8,180
comanche,99,9,194
comanche,99,10,154
comanche,99,11,167
comanche,99,12,145
creek,85,1,84
creek,85,2,75
creek,85,3,90
creek,85,4,70
creek,85,5,75
creek,85,6,76
creek,85,7,87
creek,85,8,96
creek,85,9,82
creek,85,10,88
creek,85,11,75
creek,85,12,89
creek,86,1,76
creek,86,2,74
creek,86,3,86
creek,86,4,85
creek,86,5,88
creek,86,6,75
creek,86,7,89
creek,86,8,87
creek,86,9,84
creek,86,10,82
creek,86,11,64
creek,86,12,86
creek,87,1,80
creek,87,2,71
creek,87,3,66
creek,87,4,47
creek,87,5,80
creek,87,6,77
creek,87,7,93
creek,87,8,83
creek,87,9,83
creek,87,10,72
creek,87,11,63
creek,87,12,92
creek,88,1,78
creek,88,2,66
creek,88,3,61
creek,88,4,63
creek,88,5,55
creek,88,6,76
creek,88,7,70
creek,88,8,77
creek,88,9,76
creek,88,10,85
creek,88,11,70
creek,88,12,77
creek,89,1,72
creek,89,2,73
creek,89,3,79
creek,89,4,66
creek,89,5,68
creek,89,6,66
creek,89,7,72
creek,89,8,77
creek,89,9,75
creek,89,10,73
creek,89,11,73
creek,89,12,63
creek,90,1,60
creek,90,2,68
creek,90,3,67
creek,90,4,77
creek,90,5,64
creek,90,6,65
creek,90,7,77
creek,90,8,86
creek,90,9,83
creek,90,10,72
creek,90,11,72
creek,90,12,69
creek,91,1,88
creek,91,2,61
creek,91,3,73
creek,91,4,74
creek,91,5,73
creek,91,6,70
creek,91,7,74
creek,91,8,75
creek,91,9,73
creek,91,10,80
creek,91,11,71
creek,91,12,62
creek,92,1,76
creek,92,2,78
creek,92,3,68
creek,92,4,90
creek,92,5,64
creek,92,6,81
creek,92,7,82
creek,92,8,88
creek,92,9,70
creek,92,10,87
creek,92,11,70
creek,92,12,77
creek,93,1,66
creek,93,2,65
creek,93,3,71
creek,93,4,52
creek,93,5,78
creek,93,6,73
creek,93,7,54
creek,93,8,70
creek,93,9,87
creek,93,10,87
creek,93,11,81
creek,93,12,60
creek,94,1,70
creek,94,2,70
creek,94,3,75
creek,94,4,67
creek,94,5,62
creek,94,6,68
creek,94,7,80
creek,94,8,62
creek,94,9,77
creek,94,10,64
creek,94,11,61
creek,94,12,69
creek,95,1,67
creek,95,2,67
creek,95,3,70
creek,95,4,68
creek,95,5,79
creek,95,6,67
creek,95,7,81
creek,95,8,83
creek,95,9,67
creek,95,10,66
creek,95,11,82
creek,95,12,62
creek,96,1,72
creek,96,2,60
creek,96,3,81
creek,96,4,68
creek,96,5,63
creek,96,6,78
creek,96,7,73
creek,96,8,77
creek,96,9,92
creek,96,10,98
creek,96,11,82
creek,96,12,70
creek,97,1,71
creek,97,2,76
creek,97,3,64
creek,97,4,67
creek,97,5,70
creek,97,6,66
creek,97,7,87
creek,97,8,73
creek,97,9,72
creek,97,10,73
creek,97,11,79
creek,97,12,99
creek,98,1,79
creek,98,2,81
creek,98,3,72
creek,98,4,82
creek,98,5,75
creek,98,6,81
creek,98,7,69
creek,98,8,66
creek,98,9,69
creek,98,10,83
creek,98,11,60
creek,98,12,76
creek,99,1,72
creek,99,2,62
creek,99,3,58
creek,99,4,76
creek,99,5,70
creek,99,6,61
creek,99,7,77
creek,99,8,86
creek,99,9,77
creek,99,10,81
creek,99,11,84
creek,99,12,92
logan,85,1,34
logan,85,2,32
logan,85,3,44
logan,85,4,35
logan,85,5,37
logan,85,6,46
logan,85,7,42
logan,85,8,38
logan,85,9,41
logan,85,10,30
logan,85,11,36
logan,85,12,46
logan,86,1,34
logan,86,2,30
logan,86,3,41
logan,86,4,29
logan,86,5,36
logan,86,6,35
logan,86,7,50
logan,86,8,40
logan,86,9,33
logan,86,10,25
logan,86,11,39
logan,86,12,26
logan,87,1,34
logan,87,2,42
logan,87,3,39
logan,87,4,32
logan,87,5,38
logan,87,6,20
logan,87,7,26
logan,87,8,34
logan,87,9,33
logan,87,10,32
logan,87,11,42
logan,87,12,28
logan,88,1,34
logan,88,2,39
logan,88,3,31
logan,88,4,23
logan,88,5,34
logan,88,6,29
logan,88,7,25
logan,88,8,38
logan,88,9,17
logan,88,10,31
logan,88,11,31
logan,88,12,31
logan,89,1,33
logan,89,2,32
logan,89,3,35
logan,89,4,24
logan,89,5,29
logan,89,6,33
logan,89,7,27
logan,89,8,22
logan,89,9,24
logan,89,10,33
logan,89,11,28
logan,89,12,37
logan,90,1,26
logan,90,2,25
logan,90,3,39
logan,90,4,29
logan,90,5,31
logan,90,6,29
logan,90,7,34
logan,90,8,28
logan,90,9,33
logan,90,10,25
logan,90,11,27
logan,90,12,29
logan,91,1,34
logan,91,2,21
logan,91,3,28
logan,91,4,28
logan,91,5,30
logan,91,6,34
logan,91,7,27
logan,91,8,22
logan,91,9,35
logan,91,10,28
logan,91,11,34
logan,91,12,32
logan,92,1,29
logan,92,2,23
logan,92,3,26
logan,92,4,37
logan,92,5,20
logan,92,6,22
logan,92,7,39
logan,92,8,26
logan,92,9,36
logan,92,10,32
logan,92,11,27
logan,92,12,26
logan,93,1,27
logan,93,2,46
logan,93,3,36
logan,93,4,24
logan,93,5,18
logan,93,6,30
logan,93,7,29
logan,93,8,39
logan,93,9,28
logan,93,10,39
logan,93,11,28
logan,93,12,33
logan,94,1,26
logan,94,2,15
logan,94,3,36
logan,94,4,21
logan,94,5,30
logan,94,6,17
logan,94,7,26
logan,94,8,39
logan,94,9,23
logan,94,10,27
logan,94,11,25
logan,94,12,29
logan,95,1,35
logan,95,2,24
logan,95,3,38
logan,95,4,22
logan,95,5,33
logan,95,6,35
logan,95,7,30
logan,95,8,33
logan,95,9,30
logan,95,10,26
logan,95,11,28
logan,95,12,27
logan,96,1,23
logan,96,2,20
logan,96,3,41
logan,96,4,19
logan,96,5,19
logan,96,6,32
logan,96,7,20
logan,96,8,38
logan,96,9,27
logan,96,10,29
logan,96,11,29
logan,96,12,29
logan,97,1,28
logan,97,2,25
logan,97,3,43
logan,97,4,31
logan,97,5,28
logan,97,6,25
logan,97,7,41
logan,97,8,33
logan,97,9,29
logan,97,10,19
logan,97,11,29
logan,97,12,24
logan,98,1,30
logan,98,2,39
logan,98,3,36
logan,98,4,35
logan,98,5,25
logan,98,6,32
logan,98,7,35
logan,98,8,38
logan,98,9,27
logan,98,10,30
logan,98,11,24
logan,98,12,34
logan,99,1,19
logan,99,2,21
logan,99,3,32
logan,99,4,35
logan,99,5,22
logan,99,6,28
logan,99,7,28
logan,99,8,32
logan,99,9,26
logan,99,10,28
logan,99,11,22
logan,99,12,30
mcclain,85,1,28
mcclain,85,2,28
mcclain,85,3,26
mcclain,85,4,28
mcclain,85,5,35
mcclain,85,6,35
mcclain,85,7,36
mcclain,85,8,29
mcclain,85,9,19
mcclain,85,10,28
mcclain,85,11,25
mcclain,85,12,37
mcclain,86,1,22
mcclain,86,2,22
mcclain,86,3,23
mcclain,86,4,35
mcclain,86,5,35
mcclain,86,6,28
mcclain,86,7,26
mcclain,86,8,19
mcclain,86,9,35
mcclain,86,10,44
mcclain,86,11,28
mcclain,86,12,26
mcclain,87,1,21
mcclain,87,2,20
mcclain,87,3,24
mcclain,87,4,20
mcclain,87,5,22
mcclain,87,6,27
mcclain,87,7,27
mcclain,87,8,21
mcclain,87,9,29
mcclain,87,10,24
mcclain,87,11,24
mcclain,87,12,31
mcclain,88,1,24
mcclain,88,2,20
mcclain,88,3,24
mcclain,88,4,26
mcclain,88,5,25
mcclain,88,6,27
mcclain,88,7,25
mcclain,88,8,30
mcclain,88,9,20
mcclain,88,10,34
mcclain,88,11,24
mcclain,88,12,24
mcclain,89,1,25
mcclain,89,2,27
mcclain,89,3,25
mcclain,89,4,22
mcclain,89,5,23
mcclain,89,6,21
mcclain,89,7,23
mcclain,89,8,22
mcclain,89,9,21
mcclain,89,10,19
mcclain,89,11,14
mcclain,89,12,23
mcclain,90,1,24
mcclain,90,2,32
mcclain,90,3,30
mcclain,90,4,31
mcclain,90,5,22
mcclain,90,6,29
mcclain,90,7,32
mcclain,90,8,30
mcclain,90,9,26
mcclain,90,10,30
mcclain,90,11,16
mcclain,90,12,22
mcclain,91,1,26
mcclain,91,2,32
mcclain,91,3,29
mcclain,91,4,10
mcclain,91,5,38
mcclain,91,6,21
mcclain,91,7,19
mcclain,91,8,23
mcclain,91,9,22
mcclain,91,10,26
mcclain,91,11,32
mcclain,91,12,22
mcclain,92,1,21
mcclain,92,2,21
mcclain,92,3,32
mcclain,92,4,31
mcclain,92,5,29
mcclain,92,6,21
mcclain,92,7,31
mcclain,92,8,27
mcclain,92,9,27
mcclain,92,10,22
mcclain,92,11,19
mcclain,92,12,26
mcclain,93,1,22
mcclain,93,2,28
mcclain,93,3,21
mcclain,93,4,24
mcclain,93,5,24
mcclain,93,6,30
mcclain,93,7,15
mcclain,93,8,34
mcclain,93,9,26
mcclain,93,10,24
mcclain,93,11,18
mcclain,93,12,22
mcclain,94,1,23
mcclain,94,2,24
mcclain,94,3,28
mcclain,94,4,42
mcclain,94,5,32
mcclain,94,6,37
mcclain,94,7,28
mcclain,94,8,38
mcclain,94,9,19
mcclain,94,10,32
mcclain,94,11,18
mcclain,94,12,23
mcclain,95,1,26
mcclain,95,2,25
mcclain,95,3,24
mcclain,95,4,18
mcclain,95,5,27
mcclain,95,6,26
mcclain,95,7,30
mcclain,95,8,30
mcclain,95,9,19
mcclain,95,10,28
mcclain,95,11,27
mcclain,95,12,20
mcclain,96,1,25
mcclain,96,2,16
mcclain,96,3,16
mcclain,96,4,27
mcclain,96,5,26
mcclain,96,6,27
mcclain,96,7,25
mcclain,96,8,32
mcclain,96,9,24
mcclain,96,10,25
mcclain,96,11,25
mcclain,96,12,21
mcclain,97,1,20
mcclain,97,2,28
mcclain,97,3,18
mcclain,97,4,23
mcclain,97,5,29
mcclain,97,6,28
mcclain,97,7,35
mcclain,97,8,22
mcclain,97,9,22
mcclain,97,10,23
mcclain,97,11,33
mcclain,97,12,38
mcclain,98,1,22
mcclain,98,2,40
mcclain,98,3,29
mcclain,98,4,32
mcclain,98,5,33
mcclain,98,6,36
mcclain,98,7,18
mcclain,98,8,31
mcclain,98,9,20
mcclain,98,10,36
mcclain,98,11,28
